"snippet","data_ref","x","y","tied_data_refs"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:58:10",19.508,19.325,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:43:71",19.508,10.744,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:60:3",24.312,19.325,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:45:3",24.312,10.744,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:91:6",27.926,36.486,""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:76:6",27.926,27.905,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:91:9",31.539,36.486,""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:76:11",31.539,27.905,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:91:12",35.152,36.486,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:76:16",35.152,27.905,""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:60:8",35.152,19.325,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:45:8",35.152,10.744,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:91:15",38.766,36.486,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:76:19",38.766,27.905,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:60:14",38.766,19.325,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:45:14",38.766,10.744,""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:92:3",43.579,36.486,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:76:22",43.579,27.905,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:60:21",47.193,19.325,""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:45:19",47.193,10.744,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_03/BK_03_ly_main.ly:93:3",51.997,36.486,""
