"snippet","data_ref","x","y","bar","bar_moment"
"e'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:139:5",12.944,33.887,1.0,"0"
"b","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:107:5",12.944,27.676,1.0,"0"
"b''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:73:5",12.944,17.758,1.0,"0"
"gis''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:38:5",12.944,11.548,1.0,"0"
"e'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:139:9",16.479,33.887,"",""
"b","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:107:8",16.479,27.676,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:139:13",18.814,33.887,"",""
"b","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:107:11",18.814,27.676,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:139:19",21.15,33.887,"",""
"e'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:107:14",21.15,27.676,"",""
"b''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:73:14",23.485,17.758,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:38:19",23.485,11.548,"",""
"e'''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:73:19",25.82,17.758,"",""
"b''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:38:29",25.82,11.548,"",""
"e'''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:73:25",28.156,17.758,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:38:34",28.156,11.548,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:140:5",31.686,33.887,2.0,"1"
"fis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:108:5",31.686,27.676,2.0,"1"
"fis'''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:74:5",31.686,17.758,2.0,"1"
"dis'''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:39:5",31.686,11.548,2.0,"1"
"cis'''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:39:32",34.021,11.548,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:140:11",36.356,33.887,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:108:11",36.356,27.676,"",""
"b'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:140:18",38.691,33.887,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:108:18",38.691,27.676,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:140:22",41.166,33.887,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:108:24",41.166,27.676,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:140:38",44.766,33.887,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_07/TMK_07_ly_main.ly:108:39",44.766,27.676,"",""
