"snippet","data_ref","x","y","bar","bar_moment"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:94:3",11.178,24.774,1.0,"0"
"b","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:81:3",11.178,20.124,1.0,"0"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:68:3",11.178,11.565,1.0,"0"
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:55:3",11.178,6.915,1.0,"0"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:94:6",15.991,24.774,"",""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:81:6",15.991,20.124,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:68:7",15.991,11.565,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:55:7",15.991,6.915,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:94:9",19.605,24.774,"",""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:81:9",19.605,20.124,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:68:11",19.605,11.565,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:55:11",19.605,6.915,"",""
"cis","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:94:12",23.218,24.774,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:81:12",23.218,20.124,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:68:15",23.218,11.565,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:55:17",23.218,6.915,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:94:18",31.645,24.774,"",""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:81:16",31.645,20.124,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:68:20",31.645,11.565,"",""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:55:22",31.645,6.915,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:95:3",36.45,24.774,2.0,"1"
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:82:3",36.45,20.124,2.0,"1"
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:69:3",36.45,11.565,2.0,"1"
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:56:3",36.45,6.915,2.0,"1"
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:95:8",40.063,24.774,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:82:9",40.063,20.124,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:69:9",40.063,11.565,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:56:7",40.063,6.915,"",""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:95:13",47.29,24.774,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_08/BK_08_ly_main.ly:82:15",47.29,20.124,"",""
