"snippet","data_ref","x","y","bar","bar_moment"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:100:3",10.492,38.215,1.0,"0"
"b","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:84:3",10.492,29.718,1.0,"0"
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:68:3",10.492,20.087,1.0,"0"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:55:3",10.492,11.59,1.0,"0"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:42:3",10.492,6.915,1.0,"0"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:100:6",15.306,38.215,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:84:6",15.306,29.718,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:68:8",18.919,20.087,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:55:8",18.919,11.59,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:42:8",18.919,6.915,"",""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:100:9",22.533,38.215,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:84:9",22.533,29.718,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:68:12",22.533,20.087,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:55:12",22.533,11.59,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:42:12",22.533,6.915,"",""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:100:15",27.346,38.215,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:84:12",27.346,29.718,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:68:18",27.346,20.087,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:55:18",27.346,11.59,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:42:18",27.346,6.915,"",""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:100:19",30.959,38.215,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:84:15",30.959,29.718,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:68:24",30.959,20.087,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:55:22",30.959,11.59,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:42:22",30.959,6.915,"",""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:101:3",35.764,38.215,2.0,"1"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:85:3",35.764,29.718,2.0,"1"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:69:3",35.764,20.087,2.0,"1"
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_06/BK_06_ly_main.ly:56:3",35.764,11.59,2.0,"1"
