"snippet","data_ref","x","y","tied_data_refs"
"fis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:71:3",11.258,27.422,""
"fis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:55:3",11.258,22.966,""
"fis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:39:3",11.258,13.031,""
"fis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:23:3",11.258,8.646,""
"bis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:39:17",23.0,13.031,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:23:17",23.0,8.646,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:39:23",27.856,13.031,""
"fis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:23:29",27.856,8.646,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:40:3",31.682,13.031,""
"fis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:24:3",31.682,8.646,""
"cis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:40:10",34.017,13.031,""
"e''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:24:10",34.017,8.646,""
"e'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:72:6",36.353,27.422,""
"gis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:56:6",36.353,22.966,""
"cis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:40:17",36.353,13.031,""
"e''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:24:15",36.353,8.646,""
"gis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:72:10",41.209,27.422,""
"b'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:56:17",41.209,22.966,""
"gis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:72:16",45.035,27.422,""
"b'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:56:21",45.035,22.966,""
"fis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:72:22",47.37,27.422,""
"ais'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:56:25",47.37,22.966,""
"fis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:72:28",49.706,27.422,""
"ais'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:56:31",49.706,22.966,""
"cis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:40:24",49.706,13.031,""
"cis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:24:20",49.706,8.646,""
"e''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:40:31",52.041,13.031,""
"gis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:24:27",52.041,8.646,""
"e''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:41:3",55.571,13.031,""
"gis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:25:3",55.571,8.646,""
"b'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:73:6",57.906,27.422,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:57:6",57.906,22.966,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:41:11",57.906,13.031,""
"fis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:25:13",57.906,8.646,""
"b'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:73:10",60.241,27.422,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:57:13",60.241,22.966,""
"dis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:41:21",60.241,13.031,""
"fis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:25:23",60.241,8.646,""
"ais'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:73:14",62.731,27.422,""
"cis''","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:57:20",62.731,22.966,""
"gis'","/mnt/e/projects/partitur-data/TMK_06/TMK_06_ly_main.ly:73:20",65.067,27.422,""
