"snippet","data_ref","x","y","bar","bar_moment"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:67:3",49.432,22.887,3.0,"2"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:48:28",49.614,19.686,3.0,"2"
"e''","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:48:31",49.614,16.785,3.0,"2"
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:30:3",49.432,6.915,3.0,"2"
"d","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:105:4",54.925,43.149,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:105:6",54.925,40.226,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:49:4",54.925,19.708,"",""
"fis''","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:49:7",54.925,16.763,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:85:3",64.883,31.384,4.0,"3"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:68:3",64.883,22.887,4.0,"3"
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:31:3",64.883,6.915,4.0,"3"
"d","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:107:4",72.092,43.149,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:107:6",72.092,40.226,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:51:4",72.092,19.708,"",""
"fis''","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:51:7",72.092,16.763,"",""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:111:3",80.333,37.529,5.0,"4"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:89:3",80.333,31.384,5.0,"4"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:72:3",80.333,22.887,5.0,"4"
"fis''","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:55:3",80.333,16.412,5.0,"4"
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:35:3",80.333,6.915,5.0,"4"
