"snippet","data_ref","x","y","tied_data_refs"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:104:3",10.492,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:87:3",10.492,25.072,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:71:3",10.492,15.414,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:53:3",10.492,9.028,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:104:6",14.808,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:87:6",14.808,25.072,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:71:9",17.923,15.414,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:53:8",17.923,9.028,""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:104:9",21.038,31.458,""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:87:9",21.038,25.072,""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:71:13",21.038,15.414,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:53:12",21.038,9.028,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:71:20",28.469,15.414,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:53:19",28.469,9.028,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:105:3",32.79,31.458,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:88:3",32.79,25.072,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:72:3",32.79,15.414,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:54:3",32.79,9.028,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:105:6",37.106,31.458,""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:88:7",37.106,25.072,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:72:7",37.106,15.414,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:54:9",37.106,9.028,""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:105:9",40.221,31.458,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:88:13",40.221,25.072,""
"b,","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:105:16",43.336,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:88:16",43.336,25.072,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:72:11",43.336,15.414,""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:54:13",43.336,9.028,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:106:3",53.158,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:90:3",53.158,25.072,""
"gis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:73:3",53.158,15.414,""
"e''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:55:3",53.158,9.028,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:106:7",60.589,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:90:7",60.589,25.072,""
"gis'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:73:10",60.589,15.414,""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:55:9",60.589,9.028,""
"gis","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:106:10",63.704,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:90:10",63.704,25.072,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:73:16",63.704,15.414,""
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:55:14",63.704,9.028,""
"gis","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:107:5",68.02,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:91:5",68.02,25.072,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:74:5",68.02,15.414,""
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:57:5",68.02,9.028,""
"gis","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:107:10",71.346,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:91:8",71.346,25.072,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:74:9",71.346,15.414,""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:57:12",71.346,9.028,""
"gis","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:107:15",75.238,31.458,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:91:11",75.238,25.072,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:74:13",75.238,15.414,""
"e''","/mnt/e/projects/partitur-data/__unpublished/BK_04/BK_04_ly_main.ly:57:17",75.238,9.028,""
