"pitch","midi","channel","on_tick","off_tick"
"e",52,5,0,384
"b",59,4,0,384
"e'",64,2,0,576
"g'",67,1,0,576
"e",52,5,384,768
"b",59,4,384,768
"d'",62,2,576,768
"a'",69,1,576,768
"a,",45,5,768,1536
"cis'",61,4,768,1536
"cis'",61,2,768,1344
"g'",67,1,768,1344
"e'",64,2,1344,1536
"a'",69,1,1344,1536
"d",50,5,1536,1920
"d'",62,4,1536,1920
"d'",62,2,1536,1920
"fis'",66,1,1536,1920
"e",52,5,1920,2112
"cis'",61,4,1920,2112
"e'",64,2,1920,2304
"a'",69,1,1920,2304
"fis",54,5,2112,2304
"a",57,4,2112,2304
"b,",47,5,2304,3072
"b",59,4,2304,3072
"fis'",66,2,2304,3072
"d''",74,1,2304,3072
"e",52,5,3072,3648
"b",59,4,3072,3648
"gis'",68,2,3072,3648
"e''",76,1,3072,3648
"e",52,5,3648,3840
"b",59,4,3648,3840
"gis'",68,2,3648,3840
"d''",74,1,3648,3840
"gis",56,5,3840,4224
"b",59,4,3840,4224
"e'",64,2,3840,4224
"cis''",73,1,3840,4224
"gis",56,5,4224,4352
"b",59,4,4224,4352
"e'",64,2,4224,4352
"cis''",73,1,4224,4352
"gis",56,5,4352,4480
"b",59,4,4352,4480
"e'",64,2,4352,4480
"d''",74,1,4352,4480
"gis",56,5,4480,4608
"b",59,4,4480,4608
"e'",64,2,4480,4608
"e''",76,1,4480,4608
"a",57,5,4608,5760
"cis'",61,4,4608,5760
"e'",64,2,4608,5760
"a'",69,1,4608,5760
