"snippet","data_ref","x","y","tied_data_refs"
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:39",83.474,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:73:17",83.474,24.096,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:44",83.474,16.072,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:31:18",83.474,8.047,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:43",85.809,32.072,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:73:21",85.809,24.096,""
"ais''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:49",85.809,16.072,""
"ais''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:31:23",85.809,8.047,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:95:3",89.339,32.072,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:74:3",89.339,24.096,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:53:3",89.339,16.072,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:32:3",89.339,8.047,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:95:10",95.21,32.072,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:74:10",95.21,24.096,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:53:11",95.21,16.072,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:32:11",95.21,8.047,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:95:16",98.372,32.072,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:74:16",98.372,24.096,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:53:18",98.372,16.072,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:32:18",98.372,8.047,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:95:22",102.482,32.072,""
