"snippet","data_ref","x","y","bar","bar_moment"
"gis'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:110:9",16.594,31.365,1.0,"0"
"gis'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:86:9",16.594,24.809,1.0,"0"
"gis''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:61:9",16.594,14.945,1.0,"0"
"gis''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:36:9",16.594,8.389,1.0,"0"
"gis'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:110:15",19.786,31.365,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:86:15",19.786,24.809,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:61:16",19.786,14.945,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:36:16",19.786,8.389,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:110:21",22.641,31.365,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:86:21",22.641,24.809,"",""
"ais''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:61:23",22.641,14.945,"",""
"ais''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:36:23",22.641,8.389,"",""
"b'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:111:3",26.17,31.365,2.0,"1"
"b'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:87:3",26.17,24.809,2.0,"1"
"b''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:63:3",26.17,14.945,2.0,"1"
"b''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:38:3",26.17,8.389,2.0,"1"
"b'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:111:8",33.176,31.365,"",""
"b'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:87:8",33.176,24.809,"",""
"b''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:63:9",33.176,14.945,"",""
"b''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:38:9",33.176,8.389,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:111:15",35.511,31.365,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:87:15",35.511,24.809,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:63:17",35.511,14.945,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_08/TMK_08_ly_main.ly:38:17",35.511,8.389,"",""
