"pitch","midi","channel","on_tick","off_tick"
"ais'",70,3,108864,109056
"ais''",82,2,108864,109056
"ais''",82,1,108864,109056
"b'",71,4,109056,110208
"b'",71,3,109056,110208
"b''",83,2,109056,110208
"b''",83,1,109056,110208
"b'",71,4,110208,110400
"b'",71,3,110208,110400
"b''",83,2,110208,110400
"b''",83,1,110208,110400
"gis'",68,4,110400,110592
"gis'",68,3,110400,110592
"gis''",80,2,110400,110592
"gis''",80,1,110400,110592
"dis''",75,4,110592,110784
"dis''",75,3,110592,110784
"dis'''",87,2,110592,110784
"dis'''",87,1,110592,110784
"cis''",73,4,110784,111552
"cis''",73,3,110784,111552
"cis'''",85,2,110784,111552
"cis'''",85,1,110784,111552
"fis'",66,4,111552,111744
"ais'",70,3,111552,111744
"cis'''",85,2,111552,111744
"ais''",82,1,111552,111744
"cis'",61,4,111744,111936
"ais'",70,3,111744,111936
"cis'''",85,2,111744,111936
"ais''",82,1,111744,111936
"dis'",63,4,111936,112128
"fis'",66,3,111936,112128
"dis'''",87,2,111936,112128
"b''",83,1,111936,112128
"e'",64,4,112128,112896
"gis'",68,3,112128,112896
"e'''",88,2,112128,112896
"cis'''",85,1,112128,112896
"fis'",66,4,112896,113152
"b'",71,3,112896,113152
"dis'''",87,2,112896,113152
"dis'''",87,1,112896,113152
"fis'",66,4,113152,113408
"ais'",70,3,113152,113408
"cis'''",85,2,113152,113408
"cis'''",85,1,113152,113408
"fis'",66,4,113408,113664
"gis'",68,3,113408,113664
"e'''",88,2,113408,113664
"b''",83,1,113408,113664
"b",59,4,113664,115200
"fis'",66,3,113664,115200
"dis'''",87,2,113664,115200
"b''",83,1,113664,115200
"b",59,4,115584,115968
"g'",67,3,115584,115968
"e'''",88,2,115584,115968
"b''",83,1,115584,115968
"b",59,4,115968,116352
"g'",67,3,115968,116352
"e'''",88,2,115968,116352
"cis'''",85,1,115968,116352
"b",59,4,116352,116736
"a'",69,3,116352,116736
"e'''",88,2,116352,116736
"e'''",88,1,116352,116736
"b",59,4,116736,118272
"b'",71,4,116736,118272
"fis'",66,3,116736,118272
"b'",71,3,116736,118272
"cis'''",85,2,116736,118272
"dis'''",87,2,116736,118272
"dis'''",87,1,116736,118272
"fis'''",90,1,116736,118272
"b",59,4,118272,118656
"fis'",66,3,118272,118656
"cis'''",85,2,118272,118656
"dis'''",87,1,118272,118656
