"snippet","data_ref","x","y","bar","bar_moment"
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:47:3",11.292,12.563,1.0,"0"
"b'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:47:48",14.827,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:47:54",17.162,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:47:61",25.368,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:48:3",28.898,12.563,2.0,"1"
"e''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:48:10",32.433,12.563,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:48:15",34.768,12.563,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:49:6",48.903,12.563,3.0,"2"
"b'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:49:12",51.662,12.563,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:49:16",55.787,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:49:24",61.657,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:50:3",65.188,12.563,4.0,"3"
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:50:10",67.894,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:50:24",79.635,12.563,"",""
"e''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:50:32",82.586,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:51:3",85.516,12.563,5.0,"4"
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:51:12",92.586,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:51:20",98.457,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:52:3",101.986,12.563,6.0,"5"
"e''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:52:15",105.125,12.563,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:52:36",107.46,12.563,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:52:45",116.931,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:53:3",120.46,12.563,7.0,"6"
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:53:11",125.215,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:53:18",128.212,12.563,"",""
"e''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:53:26",132.967,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:57:3",135.727,12.563,8.0,"7"
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:64:3",152.859,12.563,9.0,"8"
"b'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:64:121",157.594,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:64:125",160.879,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:64:132",169.085,12.563,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:65:3",172.614,12.563,10.0,"9"
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:65:12",175.623,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:65:21",177.369,12.563,"",""
"e''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:66:6",191.062,12.563,11.0,"10"
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:66:11",195.39,12.563,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:66:18",198.791,12.563,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:66:27",201.126,12.563,"",""
"e''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:66:37",202.872,12.563,"",""
"ais''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:66:47",206.953,12.563,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:67:3",210.484,12.563,12.0,"11"
"dis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:84:13",220.39,21.563,"",""
"e'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:84:23",222.222,21.563,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:108:3",225.152,29.746,13.0,"12"
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:85:16",225.152,21.563,13.0,"12"
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:108:9",228.687,29.746,"",""
"fisis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:108:15",232.453,29.746,"",""
"fisis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:85:34",232.453,21.563,"",""
"fisis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:108:23",236.053,29.746,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:85:42",236.053,21.563,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:85:49",238.388,21.563,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:109:3",241.918,29.746,14.0,"13"
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:86:16",241.918,21.563,14.0,"13"
"b'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:86:25",244.318,21.563,"",""
"e'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:109:10",246.653,29.746,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:86:31",246.653,21.563,"",""
"dis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:109:14",250.091,29.746,"",""
"e'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:109:20",253.178,29.746,"",""
"e'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:109:27",259.049,29.746,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:86:41",259.049,21.563,"",""
"dis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:110:3",262.578,29.746,15.0,"14"
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:87:3",262.578,21.563,15.0,"14"
"dis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:110:9",264.913,29.746,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:87:9",264.913,21.563,"",""
"e'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:110:15",269.584,29.746,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:87:15",269.584,21.563,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:110:19",272.074,29.746,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:87:21",272.074,21.563,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:110:26",277.944,29.746,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:87:29",277.944,21.563,"",""
"b","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:111:3",281.474,29.746,16.0,"15"
"b'","/mnt/e/projects/partitur-data/TMK_01/TMK_01_ly_main.ly:91:3",281.474,21.563,16.0,"15"
