"snippet","data_ref","x","y","tied_data_refs"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:100:3",10.492,35.86,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:87:3",10.492,31.204,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:74:3",10.492,22.644,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:56:3",10.492,16.766,""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:100:6",15.306,35.86,""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:87:6",15.306,31.204,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:74:7",15.306,22.644,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:56:7",15.306,16.766,""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:100:11",20.119,35.86,""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:87:11",20.119,31.204,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:74:13",20.119,22.644,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:56:13",20.119,16.766,""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:100:16",24.933,35.86,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:87:14",24.933,31.204,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:74:17",24.933,22.644,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:56:17",24.933,16.766,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:100:19",29.746,35.86,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:87:17",29.746,31.204,""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:74:21",29.746,22.644,""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:56:21",29.746,16.766,""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:100:22",35.759,35.86,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:87:20",35.759,31.204,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:74:27",35.759,22.644,""
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:56:27",35.759,16.766,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:101:3",42.964,35.86,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:88:3",42.964,31.204,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:75:3",42.964,22.644,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:57:3",42.964,16.766,""
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:44:6",47.777,6.915,""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:44:14",57.404,6.915,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:44:19",61.017,6.915,""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:101:10",75.458,35.86,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:88:10",75.458,31.204,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:75:13",75.458,22.644,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:57:11",75.458,16.766,""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:44:33",75.458,6.915,""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:102:3",81.462,35.86,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:89:3",81.462,31.204,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:76:3",81.462,22.644,""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_09/BK_09_ly_main.ly:58:3",81.462,16.766,""
