"snippet","data_ref","x","y","tied_data_refs"
"b'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:91:3",11.258,32.072,""
"b'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:70:3",11.258,24.096,""
"dis''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:49:3",11.258,16.072,""
"b''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:28:3",11.258,8.047,""
"ais'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:91:9",14.794,32.072,""
"cis''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:49:12",14.794,16.072,""
"fis''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:28:108",14.794,8.047,""
"gis'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:91:15",17.129,32.072,""
"b'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:49:19",17.129,16.072,""
"fis'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:91:23",19.464,32.072,""
"ais'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:70:7",19.464,24.096,""
"cis''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:49:25",19.464,16.072,""
"cis'''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:28:115",19.464,8.047,""
"b'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:70:15",21.8,24.096,""
"cis''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:70:19",24.135,24.096,""
"e''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:49:34",24.135,16.072,""
"ais'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:70:28",26.47,24.096,""
"dis'''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:28:126",26.47,8.047,""
"b","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:92:3",30.001,32.072,""
"b'","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:71:3",30.001,24.096,""
"dis''","/mnt/e/projects/partitur-data/TMK_05/TMK_05_ly_main.ly:50:3",30.001,16.072,""
