"snippet","data_ref","x","y","bar","bar_moment"
"g","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:89:10",20.199,35.646,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:75:10",20.199,30.739,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:61:10",20.199,22.242,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:47:10",20.199,13.745,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:33:10",20.199,8.839,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:90:3",25.004,35.646,2.0,"1"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:76:3",25.004,30.739,2.0,"1"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:62:3",25.004,22.242,2.0,"1"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:48:3",25.004,13.745,2.0,"1"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:34:3",25.004,8.839,2.0,"1"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:62:7",28.617,22.242,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:48:7",28.617,13.745,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:34:65",28.617,8.839,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:90:8",32.23,35.646,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:76:7",32.23,30.739,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:90:11",35.844,35.646,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:76:13",35.844,30.739,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:62:11",35.844,22.242,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:48:11",35.844,13.745,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:34:69",35.844,8.839,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:90:14",39.457,35.646,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:76:18",39.457,30.739,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:62:17",39.457,22.242,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:48:17",39.457,13.745,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:34:75",39.457,8.839,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:62:22",47.884,22.242,"",""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:48:22",47.884,13.745,"",""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:34:80",47.884,8.839,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:91:3",52.689,35.646,3.0,"2"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:77:3",52.689,30.739,3.0,"2"
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:63:3",52.689,22.242,3.0,"2"
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:49:3",52.689,13.745,3.0,"2"
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:35:3",52.689,8.839,3.0,"2"
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:91:8",57.502,35.646,"",""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:77:6",57.502,30.739,"",""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:49:13",61.116,13.745,"",""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:35:13",61.116,8.839,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:91:13",64.729,35.646,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:77:9",64.729,30.739,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:63:9",64.729,22.242,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:49:19",64.729,13.745,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:35:19",64.729,8.839,"",""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:92:3",75.547,35.646,4.0,"3"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:78:3",75.547,30.739,4.0,"3"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:64:3",75.547,22.242,4.0,"3"
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:50:3",75.547,13.745,4.0,"3"
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:36:3",75.547,8.839,4.0,"3"
"g","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:92:7",83.974,35.646,"",""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:78:8",83.974,30.739,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:64:8",83.974,22.242,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:50:8",83.974,13.745,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:36:8",83.974,8.839,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:92:10",87.587,35.646,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:78:11",87.587,30.739,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:64:12",87.587,22.242,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:50:12",87.587,13.745,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_05/BK_05_ly_main.ly:36:12",87.587,8.839,"",""
