"snippet","data_ref","x","y","bar","bar_moment"
"d","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:3",10.806,28.684,1.0,"0"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:3",10.806,20.124,1.0,"0"
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:3",10.806,15.474,1.0,"0"
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:3",10.806,6.915,1.0,"0"
"d","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:6",14.419,28.684,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:6",14.419,20.124,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:7",14.419,15.474,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:9",14.419,6.915,"",""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:9",21.646,28.684,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:9",21.646,20.124,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:11",21.646,15.474,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:15",21.646,6.915,"",""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:13",24.228,28.684,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:13",24.228,20.124,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:16",24.228,15.474,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:22",24.228,6.915,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:17",27.017,28.684,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:17",27.017,20.124,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:21",27.017,15.474,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:27",27.017,6.915,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:22",30.63,28.684,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:20",30.63,20.124,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:25",30.63,15.474,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:31",30.63,6.915,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:23",34.243,20.124,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:31",34.243,15.474,"",""
"d","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:94:29",37.857,28.684,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:81:26",37.857,20.124,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:68:35",37.857,15.474,"",""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:55:35",37.857,6.915,"",""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:95:3",42.662,28.684,2.0,"1"
"b","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:82:3",42.662,20.124,2.0,"1"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:69:3",42.662,15.474,2.0,"1"
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:56:3",42.662,6.915,2.0,"1"
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:95:8",47.475,28.684,"",""
"fis","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:82:6",47.475,20.124,"",""
"dis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:69:7",47.475,15.474,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:95:13",53.263,28.684,"",""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:82:11",53.263,20.124,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:69:13",53.263,15.474,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:95:21",61.69,28.684,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:82:19",61.69,20.124,"",""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:69:20",61.69,15.474,"",""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:56:11",61.69,6.915,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:96:3",66.495,28.684,3.0,"2"
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:83:3",66.495,20.124,3.0,"2"
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:70:3",66.495,15.474,3.0,"2"
"cis''","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:57:3",66.495,6.915,3.0,"2"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:96:6",70.108,28.684,"",""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:83:7",70.108,20.124,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:70:7",70.108,15.474,"",""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:57:10",70.108,6.915,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:96:9",73.721,28.684,"",""
"cis'","/mnt/e/projects/partitur-data/__unpublished/BK_07/BK_07_ly_main.ly:83:11",73.721,20.124,"",""
