"snippet","data_ref","x","y","tied_data_refs"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:38:17",13.606,10.564,""
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:39:3",17.21,10.564,""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:39:10",23.237,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:39:14",25.946,10.564,""
"des''","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:39:20",31.973,10.564,""
"c''","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:40:3",35.578,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:40:8",37.991,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:40:13",40.84,10.564,""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:40:18",44.062,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:40:22",47.416,10.564,""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:40:30",53.442,10.564,""
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:41:3",57.047,10.564,""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:41:10",63.074,10.564,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:41:16",67.988,10.564,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:41:21",72.761,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:41:26",77.587,10.564,""
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:41:32",81.529,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:42:3",85.488,10.564,""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:43:3",104.9,10.564,""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:43:10",110.926,10.564,""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_01/BK_01_ly_main.ly:43:15",113.715,10.564,""
