"snippet","data_ref","x","y","bar","bar_moment"
"e'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:110:10",245.255,29.678,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:87:27",245.255,21.559,"",""
"dis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:110:14",247.59,29.678,"",""
"e'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:110:20",249.925,29.678,"",""
"e'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:110:27",255.796,29.678,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:87:37",255.796,21.559,"",""
"dis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:111:3",259.325,29.678,15.0,"14"
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:88:3",259.325,21.559,15.0,"14"
"e'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:111:10",265.196,29.678,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:88:10",265.196,21.559,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:111:14",267.626,29.678,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:88:16",267.626,21.559,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:111:21",273.496,29.678,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:88:24",273.496,21.559,"",""
"b","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:112:3",277.026,29.678,16.0,"15"
"b'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:92:3",277.026,21.559,16.0,"15"
