"pitch","midi","channel","on_tick","off_tick"
"cis''",73,1,0,384
"b'",71,1,384,576
"dis''",75,1,576,1344
"dis''",75,1,1344,1536
"dis''",75,1,1536,1920
"e''",76,1,1920,2112
"cis''",73,1,2112,3072
"ais'",70,1,3456,3648
"b'",71,1,3648,3840
"cis''",73,1,3840,4416
"fis''",78,1,4416,4608
"fis''",78,1,4608,4800
"dis''",75,1,4800,5760
"dis''",75,1,5952,6048
"e''",76,1,6048,6144
"fis''",78,1,6144,6912
"fis''",78,1,6912,7488
"fis''",78,1,7488,7680
"fis''",78,1,7680,7872
"e''",76,1,7872,8064
"gis'",68,1,8064,8832
"gis''",80,1,9024,9216
"fis''",78,1,9216,9792
"cis''",73,1,9792,9984
"fis''",78,1,9984,10560
"e''",76,1,10560,10752
"dis''",75,1,10752,11904
"cis''",73,1,12288,12672
"b'",71,1,12672,12864
"dis''",75,1,12864,13632
"dis''",75,1,13632,13824
"cis''",73,1,13824,14208
"fis''",78,1,14208,14400
"fis''",78,1,14400,15360
"e''",76,1,15744,15936
"dis''",75,1,15936,16128
"cis''",73,1,16128,16320
"dis''",75,1,16320,16416
"e''",76,1,16416,16704
"ais''",82,1,16704,16896
"fis''",78,1,16896,18048
"dis'",63,2,18240,18336
"e'",64,2,18336,18432
"fis'",66,3,18432,19200
"fis'",66,2,18432,18816
"fis'",66,3,18816,19200
"g'",67,3,19200,19584
"g'",67,2,19200,19584
"g'",67,3,19584,19968
"dis''",75,2,19584,19776
"cis''",73,2,19776,19968
"gis'",68,3,19968,20352
"cis''",73,2,19968,20160
"b'",71,2,20160,20352
"e'",64,3,20352,20544
"gis'",68,2,20352,21120
"dis'",63,3,20544,20736
"e'",64,3,20736,21120
"e'",64,3,21312,21504
"gis'",68,2,21312,21504
"dis'",63,3,21504,22080
"fis'",66,2,21504,22080
"e'",64,3,22080,22272
"fis'",66,2,22080,22272
"fis'",66,3,22272,22848
"dis''",75,2,22272,22848
"fis'",66,3,22848,23040
"cis''",73,2,22848,23040
"b",59,3,23040,24192
"b'",71,2,23040,24192
