"snippet","data_ref","x","y","bar","bar_moment"
"fis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:70:3",11.258,27.422,1.0,"0"
"fis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:54:3",11.258,22.966,1.0,"0"
"fis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:38:3",11.258,13.031,1.0,"0"
"fis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:22:3",11.258,8.646,1.0,"0"
"bis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:38:17",23.0,13.031,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:22:17",23.0,8.646,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:38:23",27.856,13.031,"",""
"fis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:22:29",27.856,8.646,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:39:3",31.682,13.031,2.0,"1"
"fis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:23:3",31.682,8.646,2.0,"1"
"cis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:39:10",34.017,13.031,"",""
"e''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:23:10",34.017,8.646,"",""
"e'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:71:6",36.353,27.422,"",""
"gis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:55:6",36.353,22.966,"",""
"cis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:39:17",36.353,13.031,"",""
"e''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:23:15",36.353,8.646,"",""
"gis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:71:10",41.209,27.422,"",""
"b'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:55:17",41.209,22.966,"",""
"gis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:71:16",45.035,27.422,"",""
"b'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:55:21",45.035,22.966,"",""
"fis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:71:22",47.37,27.422,"",""
"ais'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:55:25",47.37,22.966,"",""
"fis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:71:28",49.706,27.422,"",""
"ais'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:55:31",49.706,22.966,"",""
"cis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:39:24",49.706,13.031,"",""
"cis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:23:20",49.706,8.646,"",""
"e''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:39:31",52.041,13.031,"",""
"gis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:23:27",52.041,8.646,"",""
"e''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:40:3",55.571,13.031,3.0,"2"
"gis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:24:3",55.571,8.646,3.0,"2"
"b'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:72:6",57.906,27.422,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:56:6",57.906,22.966,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:40:11",57.906,13.031,"",""
"fis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:24:13",57.906,8.646,"",""
"b'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:72:10",60.241,27.422,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:56:13",60.241,22.966,"",""
"dis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:40:21",60.241,13.031,"",""
"fis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:24:23",60.241,8.646,"",""
"ais'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:72:14",62.731,27.422,"",""
"cis''","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:56:20",62.731,22.966,"",""
"gis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:72:20",65.067,27.422,"",""
"bis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:56:27",65.067,22.966,"",""
"fis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:72:28",67.637,27.422,"",""
"e'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:72:36",70.207,27.422,"",""
"gis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:56:33",70.207,22.966,"",""
"bis'","/home/henri/projects/partitur-data/TMK_03/TMK_03_ly_main.ly:40:32",70.207,13.031,"",""
